iter	RMSE
0	1.825859181
1	1.809555192
2	1.795888218
3	1.786157381
4	1.773843406
5	1.762474075
6	1.748823337
7	1.73998888
8	1.731292693
9	1.717540772
10	1.707872853
11	1.692335574
12	1.682937624
13	1.671545333
14	1.65809743
15	1.646624235
16	1.638313805
17	1.628391121
18	1.620420186
19	1.613604631
20	1.607448657
21	1.5988274
22	1.591898552
23	1.582783166
24	1.573617056
25	1.566972586
26	1.557268382
27	1.54721858
28	1.537990652
29	1.532429949
30	1.522756777
31	1.514830392
32	1.507687384
33	1.498384972
34	1.490026126
35	1.481661932
36	1.47043404
37	1.460089022
38	1.452305106
39	1.444084596
40	1.436981754
41	1.425809715
42	1.414615675
43	1.407271231
44	1.398907013
45	1.391985636
46	1.384837503
47	1.37578808
48	1.367796085
49	1.36221336
50	1.353778712
51	1.347393099
52	1.340254175
53	1.334052857
54	1.32678889
55	1.320888277
56	1.314706349
57	1.310607184
58	1.303612738
59	1.29925481
60	1.292140945
61	1.285295045
62	1.281589991
63	1.276278106
64	1.269092358
65	1.26204691
66	1.254672116
67	1.248715251
68	1.240485038
69	1.234867401
70	1.230334172
71	1.224413442
72	1.219041031
73	1.213651909
74	1.209318827
75	1.201400772
76	1.199181066
77	1.193720715
78	1.188719547
79	1.183002367
80	1.17780479
81	1.17036916
82	1.165085368
83	1.160364823
84	1.157218449
85	1.153078871
86	1.149756224
87	1.144982486
88	1.139112963
89	1.134929175
90	1.131648177
91	1.128488554
92	1.122767044
93	1.118493758
94	1.114576619
95	1.112338613
96	1.106961751
97	1.100377362
98	1.095433668
99	1.091424768
100	1.087147932
101	1.081619107
102	1.076629114
103	1.070950132
104	1.066951929
105	1.059676234
106	1.054700757
107	1.051292359
108	1.045115416
109	1.039267504
110	1.033659755
111	1.029286824
112	1.023244906
113	1.01887211
114	1.012823879
115	1.008628376
116	1.006448321
117	1.004924079
118	0.9997130682
119	0.9963745794
120	0.9942861335
121	0.9895039221
122	0.9849792251
123	0.9806966314
124	0.9786660521
125	0.9751416619
126	0.9740287213
127	0.9685716247
128	0.964750955
129	0.9626262791
130	0.958842819
131	0.9531066234
132	0.948678019
133	0.9446639777
134	0.9395211151
135	0.9368361732
136	0.9314928062
137	0.9249869638
138	0.9214873463
139	0.915460551
140	0.9129795373
141	0.9104681073
142	0.9061501151
143	0.9025869457
144	0.900638798
145	0.897811629
146	0.8942088392
147	0.8919208279
148	0.887375361
149	0.8828734143
150	0.8772407492
151	0.8729641771
152	0.8701124505
153	0.8654106735
154	0.8614102258
155	0.8573314583
156	0.8531710944
157	0.8489411904
158	0.8442159516
159	0.8394264465
160	0.834304323
161	0.8294161704
162	0.8256487391
163	0.8208301971
164	0.8179283742
165	0.8140932742
166	0.8099210136
167	0.8061668719
168	0.8026783521
169	0.7991868311
170	0.7945217696
171	0.792501276
172	0.791079195
173	0.7861065495
174	0.7833089603
175	0.7796018305
176	0.7775885544
177	0.7762954368
178	0.7730705541
179	0.7719809874
180	0.769835763
181	0.7660234618
182	0.7644276705
183	0.7611881293
184	0.7568270725
185	0.7557082215
186	0.7521203908
187	0.7486171729
188	0.7444718897
189	0.7410851597
190	0.7395067891
191	0.7391683657
192	0.7348611071
193	0.7341337329
194	0.7311134233
195	0.7277203408
196	0.7247127472
197	0.7223412827
198	0.7191145901
199	0.7167803145
200	0.7137349832
201	0.7120296162
202	0.7083232874
203	0.7054019015
204	0.7015869429
205	0.6999236084
206	0.6963399395
207	0.6949202068
208	0.6929775546
209	0.6901287336
210	0.684531018
211	0.6826756776
212	0.6785623063
213	0.6773548903
214	0.6756828027
215	0.6719950852
216	0.6711401701
217	0.6674191336
218	0.6664664293
219	0.663235323
220	0.6604010978
221	0.6599235911
222	0.6589434308
223	0.6571031094
224	0.6562167371
225	0.6547448306
226	0.6527149474
227	0.6485604433
228	0.6473611846
229	0.6444592587
230	0.6415080228
231	0.6398250974
232	0.6373923739
233	0.6366408159
234	0.6360131493
235	0.6333303728
236	0.6313582063
237	0.6306463004
238	0.6272445255
239	0.6256928354
240	0.6247557685
241	0.6226243986
242	0.6198649722
243	0.6160280683
244	0.6151273601
245	0.6144497069
246	0.61284265
247	0.6120754181
248	0.6102282945
249	0.6070410653
250	0.6047912149
251	0.6026111398
252	0.6009043948
253	0.5972780987
254	0.5955861365
255	0.5925704521
256	0.591854758
257	0.5910769412
258	0.5876896249
259	0.5843035767
260	0.5807383301
261	0.578441022
262	0.5768547515
263	0.5760075972
264	0.5714440639
265	0.5681765598
266	0.5649096034
267	0.5617162168
268	0.5585714239
269	0.5572141002
270	0.556271448
271	0.5531308441
272	0.5510003085
273	0.5476632419
274	0.546382463
275	0.5452043768
276	0.5437595384
277	0.5424678882
278	0.5412370555
279	0.5401536517
280	0.5389242083
281	0.5364452973
282	0.5332333445
283	0.5323061583
284	0.5300105563
285	0.5291443559
286	0.5256848056
287	0.5245173062
288	0.5224707798
289	0.5204949707
290	0.5193441889
291	0.5173901068
292	0.5154386387
293	0.5143046091
294	0.513137833
295	0.5120474196
296	0.5101197774
297	0.5082241254
298	0.5050236527
299	0.5031663537
300	0.500032145
301	0.4974305039
302	0.4966296368
303	0.4948140161
304	0.4930284602
305	0.4919785669
306	0.4906628926
307	0.4896470108
308	0.4863291974
309	0.4830771134
310	0.4820842285
311	0.4813542136
312	0.4806140947
313	0.4783426863
314	0.4766063322
315	0.4755964528
316	0.4733300813
317	0.4701866641
318	0.4679768193
319	0.4652618219
320	0.4634571532
321	0.4607048932
322	0.4581028621
323	0.4573409112
324	0.454748361
325	0.4529056875
326	0.4511939218
327	0.4495142781
328	0.4485820735
329	0.4463918584
330	0.4454793812
331	0.4429741497
332	0.4420863947
333	0.4412159008
334	0.4395873169
335	0.4379786007
336	0.4357359417
337	0.43416045
338	0.4325529568
339	0.4306344662
340	0.4282367771
341	0.4267209253
342	0.4252326943
343	0.423512407
344	0.4228530553
345	0.4205292435
346	0.4190295891
347	0.4183843697
348	0.4168904779
349	0.4153638979
350	0.4147251282
351	0.4126500745
352	0.411286145
353	0.4104729209
354	0.4098587083
355	0.4084252706
356	0.4064167719
357	0.4041300057
358	0.4028162148
359	0.4015305292
360	0.3996775159
361	0.3988884505
362	0.3971903566
363	0.3949995876
364	0.3942308729
365	0.3924370288
366	0.3918923389
367	0.3911447835
368	0.3892229326
369	0.3867471016
370	0.3845987865
371	0.3832694497
372	0.3815633296
373	0.3802527664
374	0.3784432376
375	0.3761125976
376	0.3734098555
377	0.3718540822
378	0.370605547
379	0.3688204093
380	0.3675941283
381	0.3661026685
382	0.3641064125
383	0.3629140706
384	0.3614720735
385	0.3598532866
386	0.3586848817
387	0.356765157
388	0.3551669491
389	0.3540331547
390	0.3521780747
391	0.3503634946
392	0.3492594566
393	0.3476229141
394	0.3454026587
395	0.3436601366
396	0.3418425655
397	0.3403175118
398	0.3382121998
399	0.3363455562
400	0.3345922773
401	0.3333906401
402	0.331663133
403	0.3299596239
404	0.3282797651
405	0.3271028182
406	0.3254474682
407	0.3238129153
408	0.3222006209
409	0.321156294
410	0.3195627626
411	0.318177911
412	0.3171479724
413	0.315324452
414	0.3142064722
415	0.3126581591
416	0.3111308138
417	0.3097965496
418	0.3086516167
419	0.3069216734
420	0.305846465
421	0.304360892
422	0.302895369
423	0.3014496128
424	0.3003450262
425	0.2993219502
426	0.2980524547
427	0.2970094068
428	0.2962545279
429	0.2950162933
430	0.2934036913
431	0.2923831103
432	0.2909983238
433	0.289632214
434	0.28857183
435	0.2878432725
436	0.2871243562
437	0.2859482778
438	0.2847935956
439	0.2837987437
440	0.282433727
441	0.2811212277
442	0.2801531611
443	0.278859301
444	0.2775828637
445	0.2764764261
446	0.2755626452
447	0.2745262663
448	0.2735190986
449	0.272501825
450	0.2712592181
451	0.2702694569
452	0.2697099609
453	0.269159858
454	0.2679309672
455	0.2673891538
456	0.2658427788
457	0.2646099799
458	0.263408853
459	0.2624690805
460	0.2608416124
461	0.2604109193
462	0.2592401384
463	0.2580849767
464	0.2575611389
465	0.2564204847
466	0.2548515292
467	0.2543363734
468	0.2538297551
469	0.2527091739
470	0.2522100619
471	0.2517191969
472	0.2505658001
473	0.2500822947
474	0.2489626626
475	0.2477226722
476	0.2472770414
477	0.2468402171
478	0.2455858567
479	0.2443538151
480	0.2432685379
481	0.2422043552
482	0.2413034604
483	0.24026227
484	0.23908248
485	0.2379448337
486	0.2368286887
487	0.2358291884
488	0.235172314
489	0.2341872227
490	0.2331099715
491	0.2320531715
492	0.2310164335
493	0.2299479768
494	0.228995909
495	0.2279890051
496	0.227439168
497	0.2268992457
498	0.2258434394
499	0.2248069837
500	0.2237895543
501	0.2232560769
502	0.2227337841
503	0.2217391874
504	0.2212190856
505	0.2207129247
506	0.2194313794
507	0.2181702644
508	0.2170773306
509	0.2161244348
510	0.2150526053
511	0.2146622813
512	0.2142769978
513	0.2134657481
514	0.2126663745
515	0.212327217
516	0.2113256324
517	0.2109473402
518	0.2104254924
519	0.209641143
520	0.209311504
521	0.2083308499
522	0.2079642914
523	0.2071948114
524	0.206869983
525	0.2065491772
526	0.2055878706
527	0.2052305889
528	0.204474595
529	0.2041584606
530	0.203216977
531	0.2028661162
532	0.2025197866
533	0.2012829111
534	0.2002098333
535	0.1990014413
536	0.1986963765
537	0.197790469
538	0.196933025
539	0.1964649175
540	0.1953305473
541	0.1950334128
542	0.1939186796
543	0.1936242716
544	0.1933335046
545	0.1929877692
546	0.192004673
547	0.1909488293
548	0.1905378455
549	0.1895786418
550	0.1885489539
551	0.1881439263
552	0.1878658609
553	0.1868169555
554	0.1864730637
555	0.18540972
556	0.1844882596
557	0.1842161605
558	0.1832846989
559	0.1829605522
560	0.1819824902
561	0.18159956
562	0.1806891226
563	0.180372426
564	0.1794817066
565	0.1784740621
566	0.1781624992
567	0.1778559697
568	0.176979733
569	0.1761014754
570	0.175798038
571	0.1749929907
572	0.1740178304
573	0.1737220413
574	0.1734309972
575	0.1724732885
576	0.172097261
577	0.1713097538
578	0.1705322313
579	0.1702482957
580	0.1694172714
581	0.1684883885
582	0.1682107385
583	0.1679602265
584	0.1671316837
585	0.1668839798
586	0.1666162552
587	0.1658643402
588	0.1656004197
589	0.1646837912
590	0.163944877
591	0.1630621478
592	0.1628260542
593	0.1625935032
594	0.1623644403
595	0.1614667077
596	0.1605717706
597	0.1603450582
598	0.1601217344
599	0.1598764971
600	0.1591627578
601	0.1584579071
602	0.1583364388
603	0.1575649686
604	0.1567291833
605	0.156608992
606	0.156490494
607	0.1562525081
608	0.1555343253
609	0.1547747403
610	0.1540721255
611	0.1535130437
612	0.1526759273
613	0.1524656356
614	0.1522584574
615	0.1516545734
616	0.1511075079
617	0.1503765241
618	0.1501726551
619	0.1496066705
620	0.1494069204
621	0.1491293081
622	0.1485362256
623	0.1479846111
624	0.1473330919
625	0.1467852449
626	0.1461428879
627	0.1459245818
628	0.1453436036
629	0.1448340998
630	0.1442398168
631	0.1437101789
632	0.1430831259
633	0.1425866244
634	0.1419680311
635	0.1414531018
636	0.1412430152
637	0.1406772343
638	0.1401197077
639	0.1396390977
640	0.1391815334
641	0.1385693745
642	0.138251568
643	0.13755881
644	0.1373790003
645	0.1372018277
646	0.1364367607
647	0.1356869697
648	0.1355133561
649	0.1349280987
650	0.1344785403
651	0.1343668274
652	0.1337923118
653	0.1333510127
654	0.1331835709
655	0.1326200171
656	0.1319749511
657	0.131866348
658	0.131703729
659	0.1310093405
660	0.1308851507
661	0.1307256239
662	0.130021482
663	0.1292454283
664	0.1291236597
665	0.1283434504
666	0.1275905707
667	0.1274699061
668	0.1269154388
669	0.1267619274
670	0.1262145304
671	0.125805341
672	0.1256864803
673	0.1249400909
674	0.1242091059
675	0.1236778479
676	0.1232790751
677	0.1230557215
678	0.1225313229
679	0.1221409546
680	0.1217059522
681	0.1211896388
682	0.1206796362
683	0.1202960118
684	0.1201267955
685	0.1196231022
686	0.1192471907
687	0.1191019593
688	0.1186067906
689	0.1182386278
690	0.1178763143
691	0.1177344533
692	0.1172491044
693	0.1168866607
694	0.1167472108
695	0.116206483
696	0.1160998514
697	0.1156226624
698	0.1154101865
699	0.1149399994
700	0.114530018
701	0.1144170548
702	0.1142096322
703	0.1137467255
704	0.1135413617
705	0.1130852034
706	0.1128818774
707	0.1126811189
708	0.1120964123
709	0.1118975633
710	0.1113229748
711	0.1109358796
712	0.1108272977
713	0.1106330561
714	0.1100692016
715	0.109876796
716	0.1093226575
717	0.1090257145
718	0.1084812527
719	0.1081102208
720	0.1075955418
721	0.1074080695
722	0.1072229605
723	0.1067159307
724	0.1065324659
725	0.1061024134
726	0.105745861
727	0.1053270056
728	0.1049782115
729	0.104567236
730	0.1040074409
731	0.1035903432
732	0.1032523807
733	0.102710241
734	0.1023035613
735	0.1017783664
736	0.1013885564
737	0.1010053684
738	0.1004912449
739	0.09999508868
740	0.09977526089
741	0.09955896496
742	0.09934612894
743	0.09882256528
744	0.09822001239
745	0.09801235454
746	0.09780798889
747	0.09766482392
748	0.0971818908
749	0.09698089626
750	0.09647357878
751	0.09602516291
752	0.09582827573
753	0.09568766375
754	0.09524675727
755	0.09505305971
756	0.09491484103
757	0.09472428124
758	0.09423169555
759	0.09409667343
760	0.09373468954
761	0.09325581323
762	0.09270290922
763	0.09224236145
764	0.0917912139
765	0.09160603848
766	0.091423737
767	0.09124425464
768	0.09106753799
769	0.09093719736
770	0.09080876091
771	0.09063485771
772	0.09017968077
773	0.08965306365
774	0.08950866147
775	0.08936613044
776	0.08924122822
777	0.08872508176
778	0.08858454225
779	0.08844582202
780	0.08813818598
781	0.08801596259
782	0.08787879983
783	0.08775846865
784	0.08745667553
785	0.08695463177
786	0.08679353142
787	0.08665975129
788	0.08655125408
789	0.08639481463
790	0.08628831155
791	0.0862045922
792	0.08591337928
793	0.0857595853
794	0.08565513862
795	0.08536797406
796	0.08521689652
797	0.08513572006
798	0.08498678168
799	0.08488468734
800	0.0847383268
801	0.0846585935
802	0.08451660638
803	0.08432920755
804	0.08418578358
805	0.08408627079
806	0.0839475367
807	0.08366619588
808	0.08356777344
809	0.08329032453
810	0.08315093428
811	0.08305393647
812	0.08287040642
813	0.08273484184
814	0.08259866137
815	0.08250335691
816	0.08223047884
817	0.08209801608
818	0.08200374935
819	0.08173466454
820	0.08146961406
821	0.08133903337
822	0.08128311702
823	0.08110490841
824	0.0809823784
825	0.08053007359
826	0.08032033768
827	0.08019068639
828	0.07975017012
829	0.07925131533
830	0.07876540149
831	0.07834876013
832	0.07820902314
833	0.07794976785
834	0.07748026795
835	0.07739010402
836	0.07709127931
837	0.07668849645
838	0.07631968366
839	0.07622608121
840	0.07593288613
841	0.07564417747
842	0.07552883848
843	0.07512560132
844	0.07501184367
845	0.07489066558
846	0.0747796389
847	0.07458545779
848	0.07446751897
849	0.07418151498
850	0.07389859121
851	0.07379120741
852	0.0735127063
853	0.07340683062
854	0.0730164883
855	0.07282098764
856	0.07263452437
857	0.07253134332
858	0.0722569775
859	0.07200095566
860	0.07189969869
861	0.07163224336
862	0.07136580631
863	0.07126654149
864	0.07100419182
865	0.07090630806
866	0.07064575807
867	0.07038738624
868	0.07018203092
869	0.06992990236
870	0.06967503726
871	0.06957488042
872	0.06932361255
873	0.06907608351
874	0.06897691696
875	0.06858057221
876	0.06848294047
877	0.0680938988
878	0.06799777045
879	0.06761589739
880	0.06740257791
881	0.06730756101
882	0.06709708558
883	0.06688977285
884	0.06679534091
885	0.0664259134
886	0.06629723186
887	0.06595539996
888	0.06586248856
889	0.06553188238
890	0.06520018501
891	0.06485337442
892	0.06452752457
893	0.06443756377
894	0.06411747473
895	0.06380963768
896	0.06350267386
897	0.06320882232
898	0.06312146105
899	0.06282469389
900	0.06248416114
901	0.06215010883
902	0.06182981223
903	0.06151564485
904	0.06120748566
905	0.06090521591
906	0.06060871911
907	0.06031788092
908	0.06002117209
909	0.05973009282
910	0.05944453337
911	0.05919000512
912	0.05891255445
913	0.05866505241
914	0.05839548822
915	0.05809904491
916	0.05785950857
917	0.05762407812
918	0.05736604917
919	0.0571371272
920	0.05688644666
921	0.05666385622
922	0.05648826003
923	0.05621825364
924	0.05594861645
925	0.05572251792
926	0.05545100353
927	0.05528268642
928	0.05504530405
929	0.05488052584
930	0.05465666587
931	0.05443642554
932	0.05427460348
933	0.05403559085
934	0.05377934709
935	0.05356513933
936	0.05330163329
937	0.0530729997
938	0.05288563816
939	0.05265745781
940	0.05243333338
941	0.05223117055
942	0.05198035799
943	0.05179974353
944	0.05155330413
945	0.05137364745
946	0.0511333122
947	0.05095656208
948	0.05078243132
949	0.05058287812
950	0.05032321631
951	0.05009203775
952	0.04983832627
953	0.04961288683
